segment,label,speaker,start,end
[ 03:31:55.360 -->  03:31:55.680],Q,SPEAKER_08,12715.360343750002,12715.680968750003
[ 03:31:57.874 -->  03:31:58.380],BT,SPEAKER_69,12717.874718750001,12718.38096875
[ 03:31:58.887 -->  03:31:58.904],AO,SPEAKER_35,12718.887218750002,12718.90409375
[ 03:31:58.904 -->  03:31:59.224],T,SPEAKER_11,12718.90409375,12719.22471875
[ 03:31:59.224 -->  03:31:59.275],AO,SPEAKER_35,12719.22471875,12719.27534375
[ 03:32:00.051 -->  03:32:00.524],BT,SPEAKER_69,12720.051593750002,12720.524093750002
[ 03:32:00.675 -->  03:32:01.283],T,SPEAKER_11,12720.675968750002,12721.28346875
[ 03:32:01.536 -->  03:32:01.688],T,SPEAKER_11,12721.536593750003,12721.688468750002
[ 03:32:03.375 -->  03:32:03.780],BT,SPEAKER_69,12723.375968750002,12723.780968750001
[ 03:32:03.899 -->  03:32:04.236],T,SPEAKER_11,12723.899093750002,12724.23659375
[ 03:32:06.514 -->  03:32:06.953],BT,SPEAKER_69,12726.51471875,12726.953468750002
[ 03:32:07.223 -->  03:32:07.257],AH,SPEAKER_27,12727.223468750002,12727.25721875
[ 03:32:08.877 -->  03:32:09.383],BT,SPEAKER_69,12728.87721875,12729.383468750002
[ 03:32:09.585 -->  03:32:10.092],AH,SPEAKER_27,12729.585968750001,12730.09221875
[ 03:32:12.134 -->  03:32:12.623],BT,SPEAKER_69,12732.134093750003,12732.62346875
[ 03:32:12.674 -->  03:32:13.146],AH,SPEAKER_27,12732.67409375,12733.14659375
[ 03:32:14.327 -->  03:32:14.817],BT,SPEAKER_69,12734.327843750001,12734.817218750002
[ 03:32:15.104 -->  03:32:15.576],AH,SPEAKER_27,12735.10409375,12735.57659375
[ 03:32:16.167 -->  03:32:16.572],BT,SPEAKER_69,12736.16721875,12736.57221875
[ 03:32:16.690 -->  03:32:16.977],AH,SPEAKER_27,12736.69034375,12736.977218750002
[ 03:32:16.977 -->  03:32:17.027],U,SPEAKER_13,12736.977218750002,12737.027843750002
[ 03:32:17.027 -->  03:32:17.112],T,SPEAKER_11,12737.027843750002,12737.11221875
[ 03:32:17.112 -->  03:32:17.162],U,SPEAKER_13,12737.11221875,12737.16284375
[ 03:32:19.778 -->  03:32:20.318],BT,SPEAKER_69,12739.778468750003,12740.31846875
