hearing_id,document_id,unit_type,start_timestamp,speaker_name,speaker_role,n_words,duration_seconds,category,category_label,seed_hit_count,seed_hit_any,tfidf_similarity
h1_2025_12_03,h1_2025_12_03_t00216,comment,01:59:42.847,Unknown speaker,official,28,14.083000000000538,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00220,comment,02:00:09.900,Unknown speaker,official,252,87.60400000000027,land_use,Land use,3,True,0.010215232273253355
h1_2025_12_03,h1_2025_12_03_t00223,comment,02:01:41.682,Unknown speaker,public,18,5.525000000000546,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00227,comment,02:01:59.276,Unknown speaker,official,22,3.7830000000003565,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00228,comment,02:02:03.119,Unknown speaker,public,152,53.35400000000027,land_use,Land use,1,True,0.00657436229113198
h1_2025_12_03,h1_2025_12_03_t00230,comment,02:02:58.213,Unknown speaker,public,43,14.076000000000022,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00231,comment,02:03:12.309,Unknown speaker,official,32,7.645999999999731,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00232,comment,02:03:20.295,Unknown speaker,public,61,18.960000000000036,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00233,comment,02:03:39.275,Unknown speaker,official,66,25.10699999999997,land_use,Land use,1,True,0.010673772649040963
h1_2025_12_03,h1_2025_12_03_t00235,comment,02:04:12.726,Unknown speaker,official,19,6.983000000000175,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00238,comment,02:04:28.213,Unknown speaker,official,32,22.105000000000473,land_use,Land use,0,False,0.004513534148075244
h1_2025_12_03,h1_2025_12_03_t00239,comment,02:04:56.046,Unknown speaker,official,21,6.184999999999491,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00244,comment,02:05:15.741,Unknown speaker,official,28,14.041000000000167,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00246,comment,02:05:48.647,Unknown speaker,official,417,124.26699999999983,land_use,Land use,0,False,0.0023116251722234875
